timestamp_s,cpu_percent,mem_percent,net_in_kbps,net_out_kbps
18600,8.95,13.74,6.96,6.67
18900,1.0,5.0,0.1,0.1
19200,1.0,5.0,0.28,0.1
19500,1.0,5.0,0.91,0.1
19800,5.51,5.0,10.29,3.31
20100,1.0,5.0,0.1,6.96
20400,7.69,5.0,17.59,9.27
20700,4.64,9.6,5.76,0.1
21000,1.0,5.0,0.1,7.81
21300,3.05,5.0,4.72,2.77
21600,1.0,5.0,2.6,0.1
21900,1.0,5.0,0.1,8.56
22200,2.61,5.0,0.1,1.93
22500,1.0,5.0,7.15,3.16
22800,1.0,5.0,0.1,0.1
23100,1.0,5.0,0.1,2.43
23400,1.0,5.0,0.1,0.1
23700,1.0,8.22,8.91,0.1
24000,1.0,5.0,3.17,0.1
24300,1.0,5.0,6.31,0.68
24600,1.0,5.0,5.48,2.27
24900,1.0,5.28,0.1,0.47
25200,1.0,6.2,5.49,0.28
25500,3.26,5.0,0.1,1.92
25800,7.74,5.0,6.97,3.16
26100,11.2,9.64,19.89,8.03
26400,10.87,10.21,14.87,10.18
26700,1.0,5.0,0.1,0.61
27000,1.0,5.0,2.68,0.1
27300,3.4,5.0,7.66,5.93
27600,3.08,5.0,0.1,6.84
27900,11.19,7.26,3.6,13.29
28200,3.31,5.0,6.2,5.63
28500,21.22,26.51,28.85,11.96
28800,19.39,9.35,19.8,21.02
29100,18.0,19.06,39.27,7.29
29400,11.69,5.46,14.23,12.33
29700,20.37,16.05,17.48,29.93
30000,20.21,18.64,16.75,19.4
30300,4.78,5.0,6.92,2.25
30600,24.6,15.42,12.27,23.8
30900,28.68,29.72,40.48,27.36
31200,29.02,25.21,27.88,8.4
31500,29.88,19.75,37.77,27.13
31800,25.59,27.21,45.92,25.98
32100,20.07,18.6,34.64,19.08
32400,31.62,26.24,19.64,24.1
32700,36.46,32.5,53.99,36.26
33000,35.83,40.21,59.22,55.17
33300,35.73,36.26,24.52,31.9
33600,27.76,21.68,25.89,25.39
33900,27.74,19.7,44.22,22.4
34200,33.11,23.12,65.89,31.93
34500,45.62,28.61,29.09,40.75
34800,33.32,34.64,37.4,28.77
35100,34.74,28.92,57.96,47.61
35400,37.42,36.64,42.96,55.43
35700,40.93,37.08,63.86,25.25
36000,52.14,50.02,55.07,19.34
36300,54.26,58.88,86.36,59.39
36600,41.95,38.22,78.69,47.45
36900,47.53,33.83,54.14,53.49
37200,41.94,31.91,31.47,6.51
37500,45.99,51.25,65.54,36.02
37800,48.29,32.69,82.99,22.38
38100,57.3,35.88,105.94,84.06
38400,67.25,71.55,101.04,78.94
38700,55.11,30.63,80.27,54.94
39000,62.15,60.72,106.63,40.44
39300,58.16,48.71,55.82,39.77
39600,68.55,46.43,82.58,62.47
39900,72.83,64.44,135.63,34.37
40200,68.27,51.85,124.28,69.45
40500,61.74,34.8,76.44,79.1
40800,64.9,65.29,89.67,43.53
41100,68.15,69.47,54.81,71.04
41400,66.5,56.7,91.32,45.45
41700,86.09,72.98,59.41,70.91
42000,74.53,68.28,97.45,47.41
42300,86.43,64.58,73.49,91.25
42600,68.08,54.32,51.79,43.07
42900,72.06,67.87,129.29,64.85
43200,82.45,45.23,131.93,78.37
43500,70.3,63.6,131.11,69.46
43800,84.63,65.67,95.44,55.01
44100,80.09,82.55,151.45,89.01
44400,71.02,59.14,62.93,25.35
44700,76.23,70.95,103.59,65.97
45000,85.25,87.59,138.87,81.83
45300,93.23,98.0,63.61,76.33
45600,76.94,78.73,36.93,97.36
45900,80.83,78.9,96.63,32.54
46200,92.09,63.2,166.95,102.99
46500,72.41,58.56,73.91,68.28
46800,79.84,76.57,87.1,26.43
47100,89.66,68.13,58.02,126.07
47400,88.2,86.06,88.91,56.32
47700,80.45,73.65,99.71,98.69
48000,96.86,81.23,162.55,37.46
48300,90.75,84.09,70.07,74.16
48600,76.77,77.09,127.01,43.68
48900,78.12,48.89,92.37,97.09
49200,84.48,71.93,148.27,72.42
49500,87.12,88.72,151.66,33.3
49800,99.0,88.42,115.07,54.94
50100,86.67,55.83,86.96,83.97
50400,90.34,62.05,91.25,115.38
50700,89.12,85.22,57.31,119.88
51000,89.4,62.07,174.36,88.01
51300,99.0,82.37,116.67,92.57
51600,97.03,82.77,188.47,69.41
51900,93.07,94.24,102.33,54.95
52200,82.2,74.24,51.31,65.46
52500,86.38,76.8,109.4,38.93
52800,86.41,72.44,143.87,125.96
53100,82.44,89.73,124.81,38.83
53400,97.32,65.43,115.24,96.06
53700,98.78,67.18,142.19,84.96
54000,86.67,98.0,49.28,115.95
54300,80.12,50.15,49.74,112.96
54600,79.18,63.78,121.45,28.73
54900,99.0,78.46,155.7,40.61
55200,86.67,91.67,68.42,85.06
55500,81.32,67.86,54.7,75.14
55800,78.56,67.5,156.46,103.54
56100,83.32,63.07,66.74,70.78
56400,87.47,65.31,30.18,97.29
56700,79.26,51.54,142.62,65.46
57000,82.63,84.05,63.78,93.22
57300,75.32,60.21,57.88,73.83
57600,85.73,63.67,97.66,74.31
57900,68.92,71.1,68.52,25.05
58200,81.89,72.35,148.79,81.3
58500,83.18,78.08,50.78,53.76
58800,64.4,58.83,98.26,38.2
59100,65.69,70.01,79.63,32.16
59400,78.35,81.04,143.47,100.41
59700,80.63,51.72,50.92,68.57
60000,68.41,65.11,66.39,69.44
60300,76.93,62.6,127.57,42.15
60600,60.29,47.59,46.99,44.2
60900,58.23,51.9,61.65,67.4
61200,75.51,52.71,85.79,77.57
61500,61.63,39.78,105.63,65.21
61800,71.69,65.32,93.57,31.68
62100,54.23,47.42,41.93,62.46
62400,62.14,53.69,133.84,52.89
62700,69.2,67.1,78.84,22.35
63000,66.44,65.39,87.4,47.67
63300,69.26,47.97,49.55,92.3
63600,51.46,51.38,42.44,40.8
63900,60.52,34.98,123.66,36.19
64200,50.13,54.09,30.88,39.59
64500,64.84,65.45,70.69,22.58
64800,62.5,42.28,67.46,49.72
65100,56.7,43.81,48.67,43.09
65400,64.04,52.32,105.51,81.59
65700,44.89,47.13,45.2,33.09
66000,51.9,42.34,26.75,67.86
66300,44.32,39.85,87.54,42.19
66600,42.7,45.23,62.36,49.4
66900,55.39,37.46,100.89,23.91
67200,37.49,32.4,72.72,47.7
67500,36.78,38.98,30.24,13.81
67800,40.25,41.27,70.81,54.64
68100,39.7,34.89,29.3,59.5
68400,53.07,49.6,84.72,23.29
68700,57.31,58.86,89.78,67.88
69000,41.66,32.78,20.03,27.7
69300,38.1,26.73,38.7,54.56
69600,36.32,25.47,72.8,30.11
69900,34.38,24.47,24.58,39.69
70200,51.29,43.63,62.08,58.04
70500,30.29,32.15,14.25,19.18
70800,34.25,37.3,23.24,30.57
71100,41.85,33.88,38.46,17.22
71400,39.23,31.93,24.21,31.14
71700,28.54,22.74,46.99,19.48
72000,32.5,25.17,39.92,36.06
72300,34.85,34.59,34.38,21.58
72600,35.81,35.03,25.95,51.15
72900,35.86,28.85,27.2,27.67
73200,34.99,33.32,67.18,53.98
73500,22.99,20.36,26.84,26.39
73800,37.98,30.7,70.28,53.65
74100,36.23,26.48,19.41,24.47
74400,28.48,24.37,33.03,43.93
74700,41.26,43.97,48.6,19.44
75000,37.59,34.12,63.4,29.92
75300,36.1,24.93,22.39,47.02
75600,42.77,31.29,30.73,34.33
75900,22.73,16.83,39.48,33.64
76200,43.01,48.65,85.83,44.18
76500,35.3,33.61,63.17,39.96
76800,38.9,34.31,50.79,33.19
77100,35.43,22.84,61.64,36.51
77400,44.56,35.19,47.36,24.08
77700,37.08,24.99,62.37,23.76
78000,38.54,37.09,48.48,56.94
78300,30.26,31.54,26.79,46.36
78600,20.14,11.05,33.21,9.17
78900,40.2,49.07,79.13,18.65
79200,43.28,32.25,45.66,26.25
79500,23.6,19.75,24.79,20.43
79800,25.2,23.85,30.8,16.19
80100,29.28,16.04,14.21,43.36
80400,17.88,9.62,22.59,8.48
80700,19.35,14.42,38.95,31.75
81000,23.26,17.73,37.17,21.98
81300,35.01,32.95,53.9,22.63
81600,39.55,38.22,56.28,17.71
81900,22.84,16.29,26.69,28.1
82200,35.23,22.25,30.63,19.02
82500,33.76,28.15,64.23,31.61
82800,14.74,18.41,24.19,17.21
83100,24.68,20.27,48.01,19.26
83400,28.44,30.74,22.19,35.66
83700,17.96,7.12,13.2,13.34
84000,25.88,23.47,25.98,20.1
84300,33.07,31.23,27.13,13.98
84600,36.82,34.77,53.08,31.51
84900,32.13,30.33,20.0,31.1
85200,24.24,13.65,47.0,18.24
85500,35.58,33.68,52.74,34.44
85800,30.55,36.47,39.26,15.46
86100,18.36,20.25,19.6,15.11
86400,34.09,24.24,48.29,24.11
86700,40.99,30.35,70.96,56.98
87000,40.8,44.47,79.88,14.31
87300,25.18,19.37,27.36,26.83
87600,33.07,32.23,37.44,27.84
87900,23.44,18.08,41.49,9.55
88200,27.25,20.02,20.1,16.84
88500,41.6,41.51,76.63,22.26
88800,24.78,15.87,36.64,29.74
89100,27.88,22.01,24.41,34.57
89400,29.76,26.94,30.99,26.74
89700,24.85,25.19,43.83,39.0
90000,36.94,40.67,41.83,27.79
90300,23.81,24.28,24.75,23.97
90600,27.17,23.86,42.28,34.1
90900,18.31,24.1,15.9,24.77
91200,31.45,21.36,52.01,42.05
91500,35.89,30.72,60.5,16.86
91800,12.6,11.46,10.11,8.82
92100,12.5,5.0,13.06,6.09
92400,12.93,13.99,8.46,5.15
92700,23.27,27.57,34.94,29.01
93000,15.56,15.25,27.97,18.61
93300,14.7,19.12,23.82,10.61
93600,24.8,28.93,31.79,27.05
93900,16.49,11.77,26.05,13.03
94200,21.98,15.36,19.97,24.6
94500,22.0,15.86,47.82,35.91
94800,19.81,18.79,16.76,8.85
95100,14.2,12.3,18.5,8.93
95400,35.0,34.81,42.36,15.5
95700,20.74,15.3,26.41,7.34
96000,27.77,17.48,48.02,18.61
96300,12.02,16.1,2.57,19.19
96600,28.27,17.97,37.57,39.76
96900,20.83,14.8,39.31,14.21
97200,28.21,22.46,20.28,32.51
97500,32.34,22.53,46.86,24.6
97800,15.6,9.68,21.92,13.5
98100,10.83,13.25,18.36,6.75
98400,16.64,15.29,14.4,13.41
98700,28.3,28.04,19.99,14.66
99000,7.84,11.17,13.27,6.72
99300,28.54,29.62,27.44,29.03
99600,14.12,9.2,8.07,11.87
99900,20.63,14.52,28.77,29.55
100200,16.77,15.82,19.95,21.11
100500,27.31,28.23,15.67,14.7
100800,19.53,16.76,28.64,34.25
101100,19.27,10.78,11.97,18.88
101400,8.73,12.13,12.93,4.38
101700,22.78,21.67,20.95,27.68
102000,17.72,14.4,21.42,27.55
102300,1.0,5.0,0.1,0.1
102600,1.0,5.0,0.1,0.1
102900,5.09,5.0,10.5,6.59
103200,4.77,5.0,4.1,1.55
103500,3.09,7.74,4.12,2.69
103800,16.25,13.35,35.64,19.79
104100,18.67,19.74,37.24,14.56
104400,23.17,21.06,23.63,11.38
104700,23.07,23.33,48.2,16.11
105000,8.62,7.72,4.41,10.83
105300,22.45,15.43,26.73,18.91
105600,14.81,11.17,27.28,10.1
105900,10.59,15.42,10.15,16.16
106200,23.92,16.64,40.31,11.55
106500,23.66,16.37,10.03,30.42
106800,7.0,5.0,11.74,0.97
107100,13.07,14.49,14.8,19.95
107400,26.17,16.32,20.18,35.41
107700,21.1,19.57,25.96,28.95
108000,17.25,7.36,24.56,8.81
108300,20.46,16.1,20.91,13.66
108600,4.75,6.65,3.51,2.07
108900,6.18,5.0,15.09,1.65
109200,23.48,21.54,28.98,26.59
109500,14.73,8.76,9.19,6.98
109800,18.46,15.19,35.97,15.23
110100,22.83,15.61,33.76,19.65
110400,12.22,17.24,10.22,16.07
110700,2.86,5.0,0.1,5.62
111000,19.11,15.67,13.01,21.09
111300,21.22,14.07,41.92,25.82
111600,15.27,10.32,11.05,1.63
111900,19.15,18.72,15.73,9.34
112200,17.69,18.98,15.02,17.84
112500,24.9,16.24,21.29,10.65
112800,20.72,22.02,30.2,27.74
113100,24.35,27.05,42.36,15.86
113400,25.39,20.5,37.31,25.01
113700,29.43,28.37,31.06,42.19
114000,27.82,20.84,49.08,19.17
114300,36.33,41.31,28.22,17.24
114600,31.19,28.74,42.9,21.12
114900,35.97,40.32,69.38,9.59
115200,30.57,23.59,47.79,31.78
115500,39.78,33.74,76.44,38.83
115800,23.99,8.25,24.81,8.22
116100,28.48,22.04,30.85,9.48
116400,42.95,31.23,72.62,23.1
116700,24.43,16.58,37.69,20.14
117000,32.11,27.95,42.45,38.51
117300,46.59,34.99,45.03,70.09
117600,36.8,35.72,66.97,24.02
117900,33.87,26.31,19.41,45.45
118200,32.72,38.29,31.34,30.58
118500,41.81,20.32,53.87,24.15
118800,52.52,31.89,99.45,74.3
119100,48.02,35.23,46.59,19.07
119400,55.56,50.87,88.69,74.21
119700,54.56,38.32,98.33,51.63
120000,56.26,58.5,108.01,31.66
120300,49.13,44.19,51.19,69.78
120600,42.98,18.16,28.8,34.03
120900,43.78,34.33,23.79,31.66
121200,46.0,40.38,84.96,62.2
121500,52.43,38.72,85.05,42.21
121800,56.5,61.55,17.94,27.1
122100,46.01,39.39,64.84,24.91
122400,62.84,69.55,94.24,72.91
122700,49.02,54.04,94.13,34.46
123000,63.16,55.73,85.46,75.65
123300,68.85,40.33,130.28,101.24
123600,63.35,68.5,100.96,80.78
123900,71.69,58.86,106.18,52.01
124200,54.89,35.67,36.92,80.21
124500,65.37,39.02,39.21,89.95
124800,61.89,49.48,78.76,74.52
125100,70.28,56.35,127.42,41.83
125400,76.9,76.56,92.43,80.8
125700,69.64,45.2,74.94,95.57
126000,73.01,57.5,105.65,31.98
126300,75.0,70.97,117.47,91.68
126600,72.24,60.3,64.97,72.39
126900,80.72,61.48,100.71,51.52
127200,61.57,58.73,120.01,78.6
127500,65.0,55.28,110.05,43.61
127800,75.87,79.26,155.66,36.7
128100,80.85,91.99,96.36,86.41
128400,68.55,47.12,33.31,25.56
128700,82.86,60.59,57.79,77.85
129000,87.87,79.18,62.72,39.83
129300,86.95,74.49,147.76,75.69
129600,92.88,66.91,109.18,111.68
129900,84.91,55.65,53.56,118.38
130200,89.57,96.69,103.27,65.92
130500,83.55,50.77,56.0,50.17
130800,73.89,48.75,83.11,32.2
131100,95.02,97.72,140.45,43.08
131400,89.28,72.75,118.93,59.27
131700,86.85,90.83,101.78,46.48
132000,77.58,72.05,125.3,110.05
132300,99.0,91.97,78.55,102.1
132600,99.0,91.78,145.19,40.46
132900,99.0,98.0,115.31,100.73
133200,90.57,78.54,101.67,37.74
133500,98.12,98.0,199.15,79.57
133800,81.28,83.96,129.12,41.74
134100,84.88,78.86,141.85,63.92
134400,82.99,85.17,123.15,57.71
134700,99.0,74.87,168.17,103.31
135000,95.51,98.0,141.21,28.24
135300,99.0,91.13,177.23,39.62
135600,86.38,71.73,121.28,123.44
135900,87.8,92.76,164.66,52.84
136200,97.53,68.5,92.63,48.09
136500,89.44,70.38,53.31,96.9
136800,76.96,82.9,105.8,72.38
137100,83.54,72.97,106.63,104.38
137400,80.88,67.75,86.43,50.94
137700,87.53,66.21,100.25,63.35
138000,80.41,50.23,114.23,69.76
138300,86.26,65.42,40.87,110.61
138600,83.14,71.38,156.55,99.11
138900,85.04,77.95,56.76,100.89
139200,94.36,98.0,98.34,84.62
139500,77.62,60.86,47.89,113.21
139800,71.16,44.65,44.1,26.26
140100,87.53,71.84,133.67,111.29
140400,89.24,98.0,146.19,93.68
140700,80.06,62.11,144.64,54.27
141000,67.85,57.07,64.15,30.52
141300,72.66,70.42,87.42,61.91
141600,72.33,39.52,94.87,32.09
141900,73.09,49.63,100.0,92.81
142200,80.02,77.62,84.68,66.6
142500,78.92,50.01,39.93,75.56
142800,88.21,56.45,177.25,85.12
143100,80.28,55.55,158.94,70.03
143400,80.44,81.25,81.45,94.5
143700,74.13,43.35,122.85,65.25
144000,86.76,83.21,42.54,104.66
144300,66.16,46.28,55.56,51.48
144600,76.46,51.51,74.76,40.7
144900,76.5,71.13,57.95,108.44
145200,75.03,67.76,99.53,67.11
145500,64.04,50.75,54.36,59.01
145800,61.06,46.83,45.09,85.98
146100,71.36,56.03,91.14,58.69
146400,68.62,70.87,71.92,80.14
146700,58.06,55.44,113.53,79.85
147000,57.92,50.79,29.92,43.63
147300,76.02,71.31,102.65,79.14
147600,75.94,60.56,59.53,108.87
147900,51.36,44.75,87.86,75.18
148200,70.78,66.7,98.99,67.37
148500,54.47,40.45,36.33,19.96
148800,63.82,46.76,61.86,23.2
149100,61.06,55.3,57.8,46.86
149400,52.12,41.34,102.19,72.57
149700,63.52,54.01,41.65,53.13
150000,56.44,54.13,76.78,41.31
150300,51.17,51.62,51.46,44.85
150600,45.82,32.18,29.41,28.36
150900,57.82,49.04,36.81,70.23
151200,47.36,34.34,33.27,25.18
151500,55.42,55.91,43.15,81.65
151800,54.73,39.61,44.77,61.4
152100,47.65,47.09,37.61,17.87
152400,46.26,33.06,84.15,44.1
152700,40.73,34.67,70.41,31.93
153000,46.62,39.97,77.16,55.21
153300,39.67,40.71,41.7,52.33
153600,60.57,43.16,56.88,84.95
153900,42.24,43.66,22.81,61.72
154200,38.09,38.12,50.27,43.23
154500,44.18,34.61,70.13,25.78
154800,55.68,54.8,43.99,63.14
155100,47.71,52.22,61.46,42.18
155400,50.93,54.99,79.25,61.49
155700,55.4,52.0,34.96,66.9
156000,40.32,27.15,45.79,17.07
156300,53.37,43.75,53.19,31.21
156600,44.55,38.02,77.81,17.17
156900,55.59,47.71,50.91,69.36
157200,40.24,39.2,40.28,39.02
157500,32.95,30.53,7.69,20.38
157800,34.39,26.12,22.07,14.71
158100,47.51,50.96,84.88,54.76
158400,35.97,32.21,45.28,47.22
158700,44.2,35.68,66.57,30.34
159000,34.66,31.86,51.47,48.48
159300,50.22,46.99,84.22,40.74
159600,37.7,39.38,70.68,20.35
159900,48.18,27.74,87.53,46.0
160200,36.38,34.68,68.16,37.16
160500,26.86,27.88,42.96,12.36
160800,39.98,43.74,50.47,18.2
161100,28.8,30.35,35.52,22.06
161400,40.79,32.03,62.87,36.05
161700,42.2,36.3,77.86,39.06
162000,37.38,19.92,23.5,47.48
162300,40.43,23.91,14.69,32.32
162600,28.44,19.7,48.53,8.15
162900,43.68,38.85,84.32,27.14
163200,44.07,25.38,83.99,51.29
163500,30.35,17.93,33.69,11.92
163800,29.33,25.15,49.9,37.31
164100,39.75,37.78,79.35,21.57
164400,39.14,22.85,33.55,48.75
164700,24.11,18.14,26.98,11.93
165000,32.44,28.16,42.16,32.4
165300,42.72,32.73,44.31,23.01
165600,36.55,29.66,49.6,18.74
165900,29.87,24.77,40.82,16.44
166200,47.53,39.03,47.37,56.57
166500,24.83,24.44,31.09,29.95
166800,40.64,36.19,55.09,39.3
167100,42.24,41.83,53.2,20.5
167400,36.67,32.41,65.93,20.18
167700,34.97,28.92,69.11,38.32
168000,27.03,29.83,48.14,18.73
168300,24.98,23.66,46.71,32.8
168600,44.49,27.22,92.02,13.79
168900,29.23,35.4,52.28,41.37
169200,38.77,24.74,56.64,48.37
169500,24.07,19.64,19.6,18.7
169800,25.94,16.27,27.59,13.62
170100,35.72,33.14,40.27,50.21
170400,31.37,22.02,49.16,35.58
170700,36.15,23.8,22.81,52.33
171000,31.85,32.45,33.34,33.65
171300,34.45,23.69,68.3,34.62
171600,28.4,26.28,24.87,31.7
171900,42.87,39.96,68.72,52.16
172200,37.21,19.2,68.99,39.29
172500,39.17,30.72,28.78,25.67
172800,32.9,21.63,52.31,12.6
173100,24.55,18.48,4.62,7.66
173400,34.49,19.0,61.7,21.13
173700,31.78,29.38,45.34,8.43
174000,35.17,39.51,28.73,25.93
174300,31.19,35.26,24.99,34.21
174600,33.66,37.88,55.83,15.19
174900,30.74,22.65,46.73,37.55
175200,42.02,39.08,33.4,52.23
175500,34.05,29.11,45.41,40.39
175800,42.09,35.62,31.34,52.46
176100,39.52,24.23,38.32,19.62
176400,28.81,28.15,48.16,24.88
176700,35.42,42.77,64.71,28.41
177000,44.54,37.61,50.07,40.56
177300,40.56,35.72,29.26,26.63
177600,31.39,27.67,40.65,20.82
177900,34.6,29.15,49.38,21.09
178200,19.78,17.88,4.99,12.92
178500,21.43,27.49,27.99,28.91
178800,17.41,8.3,31.49,17.54
179100,16.08,10.58,12.29,23.97
179400,27.86,25.98,42.07,29.33
179700,17.07,10.29,16.43,32.14
180000,26.97,30.86,33.76,24.18
180300,20.56,21.53,30.7,23.78
180600,21.3,12.5,42.77,10.81
180900,22.08,17.81,15.34,31.7
181200,26.96,21.42,56.83,36.22
181500,13.67,10.85,28.25,8.17
181800,6.59,5.0,0.1,9.53
182100,22.0,9.3,24.08,29.69
182400,17.86,16.99,23.45,10.13
182700,15.14,12.03,10.34,12.32
183000,21.54,22.88,26.14,25.16
183300,5.73,5.0,1.66,5.2
183600,3.87,5.0,1.2,2.93
183900,20.95,20.31,29.95,13.85
184200,13.58,16.14,9.18,10.82
184500,1.53,5.0,2.56,1.4
184800,16.18,13.84,32.9,19.65
185100,19.29,11.21,22.97,20.5
185400,17.82,10.15,16.92,8.18
185700,12.61,14.2,16.82,7.98
186000,4.27,7.1,4.22,7.81
186300,1.0,7.94,0.1,1.95
186600,1.0,5.0,0.1,2.62
186900,7.16,5.0,11.29,6.1
187200,1.0,5.0,3.31,1.28
187500,1.0,5.0,0.1,4.84
187800,8.36,8.29,9.4,2.88
188100,7.61,5.0,8.04,5.68
188400,1.0,5.0,4.26,0.1
188700,12.09,9.66,21.87,14.09
189000,2.8,6.54,4.28,1.48
189300,5.83,5.27,13.98,5.16
189600,1.0,5.0,8.66,0.41
189900,1.85,5.0,0.1,1.09
190200,11.42,13.86,17.27,8.64
190500,1.0,5.0,0.1,3.68
190800,1.0,5.02,4.78,0.1
191100,1.0,5.0,1.38,0.1
191400,11.8,8.83,14.82,8.43
191700,1.0,5.0,0.26,3.64
192000,10.57,5.0,20.38,11.66
192300,1.0,5.0,0.1,0.1
192600,12.79,5.0,22.05,18.71
192900,1.0,5.0,3.96,0.13
193200,1.0,5.0,0.1,0.78
193500,1.0,5.0,6.38,3.32
193800,1.0,5.0,0.76,0.42
194100,1.0,5.0,11.91,0.1
194400,3.87,5.0,0.98,3.0
194700,4.65,5.0,5.3,5.35
195000,14.0,10.48,17.48,13.35
195300,1.0,5.0,0.1,0.1
195600,1.0,5.0,2.11,0.1
195900,9.16,6.68,0.1,9.14
196200,1.0,5.0,3.51,0.1
196500,5.9,6.89,15.59,8.93
196800,1.19,5.0,0.1,0.84
197100,1.0,5.0,0.1,4.81
197400,1.0,5.0,3.02,2.68
197700,13.27,11.48,14.81,7.17
198000,10.9,9.63,23.46,10.82
198300,9.85,9.06,17.05,12.5
198600,9.06,8.27,14.93,8.58
198900,17.92,18.75,23.81,16.8
199200,10.54,9.3,14.28,0.56
199500,1.0,5.0,0.1,3.24
199800,20.11,12.97,18.14,9.32
200100,2.32,5.0,1.47,2.91
200400,19.51,20.28,23.36,11.43
200700,8.21,8.81,14.4,10.72
201000,13.5,10.87,11.84,20.07
201300,20.43,21.99,32.02,16.12
201600,23.05,16.02,12.37,31.14
201900,27.61,16.88,11.76,15.32
202200,14.19,5.0,20.64,11.84
202500,26.91,29.15,48.29,35.4
202800,20.24,9.64,14.35,8.81
203100,27.54,24.19,24.49,25.94
203400,31.07,22.26,17.52,16.36
203700,19.92,21.62,13.55,22.32
204000,34.91,31.28,55.21,49.53
204300,38.89,28.38,42.03,30.14
204600,20.09,17.11,31.08,16.95
204900,23.71,20.39,17.37,18.73
205200,22.56,21.02,29.01,29.47
205500,36.46,32.9,71.15,43.04
205800,40.03,35.36,59.15,41.84
206100,42.98,29.32,40.85,59.67
206400,30.45,19.41,53.81,26.52
206700,45.53,46.5,40.94,21.89
207000,31.14,23.82,54.98,15.81
207300,33.54,29.12,56.95,42.09
207600,40.1,41.4,57.85,19.99
207900,48.79,43.17,89.09,66.33
208200,38.01,23.29,45.2,8.99
208500,56.06,52.25,39.9,19.9
208800,58.87,57.14,116.67,52.42
209100,60.85,51.79,34.65,43.38
209400,47.37,30.49,98.77,12.55
209700,50.64,40.56,74.78,59.43
210000,71.15,56.11,134.02,25.47
210300,60.52,57.88,74.74,33.06
210600,66.85,71.79,113.0,51.96
210900,73.23,70.35,118.03,82.85
211200,61.51,74.01,111.25,86.07
211500,65.9,66.05,83.77,56.85
211800,59.27,53.57,77.33,49.07
212100,69.89,59.86,141.63,39.5
212400,78.79,74.82,111.22,110.21
212700,84.81,75.47,101.03,94.97
213000,70.77,47.52,43.9,49.52
213300,68.32,59.99,57.38,18.6
213600,77.24,76.29,153.03,64.27
213900,70.29,51.95,61.77,42.67
214200,66.3,55.36,123.53,71.19
214500,79.56,53.97,34.33,77.72
214800,91.83,72.8,47.85,104.83
215100,79.66,73.0,72.32,62.52
215400,74.95,50.99,133.21,97.05
215700,73.31,62.55,70.56,64.89
216000,78.72,48.72,70.22,58.38
216300,71.25,49.35,29.49,55.61
216600,85.09,68.94,52.82,104.54
216900,78.94,73.9,76.19,114.55
217200,94.84,98.0,164.87,36.2
217500,88.6,71.3,76.94,102.63
217800,77.3,55.38,67.54,36.65
218100,94.3,98.0,65.12,122.63
218400,92.67,57.25,98.23,103.41
218700,79.2,72.93,98.42,105.48
219000,93.73,64.9,179.87,85.6
219300,76.84,74.5,98.48,93.03
219600,89.98,53.38,169.32,133.53
